age,drugs,ethnicity,height,income,orientation,sex,status
22,never,other,190.5,-1,straight,m,single
35,sometimes,white,177.8,80000,straight,m,single
38,NA,other,172.72,-1,straight,m,single
23,NA,white,180.34,20000,straight,m,single
29,never,other,167.64000000000001,-1,straight,m,single
29,NA,white,170.18,-1,straight,m,single
32,never,other,165.1,-1,straight,f,single
31,never,white,165.1,-1,straight,f,single
24,NA,white,170.18,-1,straight,f,single
37,never,white,165.1,-1,straight,m,single
35,NA,white,177.8,-1,straight,m,single
28,never,white,182.88,40000,straight,m,coupled
24,NA,white,182.88,-1,straight,m,single
30,never,white,167.64000000000001,30000,straight,f,single
29,never,other,157.48,50000,straight,f,single
39,NA,white,165.1,-1,straight,f,single
33,NA,white,177.8,-1,straight,m,single
26,never,latin,162.56,-1,straight,f,single
31,never,white,180.34,-1,straight,m,single
33,never,white,182.88,-1,straight,m,single
27,never,white,170.18,-1,straight,f,single
22,never,other,170.18,-1,straight,f,single
30,never,white,175.26,-1,straight,m,single
30,never,white,180.34,-1,straight,m,single
33,sometimes,white,185.42000000000002,-1,straight,m,single
28,never,other,177.8,-1,straight,m,single
22,never,other,182.88,-1,straight,m,single
22,never,asian,170.18,-1,straight,m,single
30,NA,other,187.96,-1,straight,m,single
32,sometimes,white,172.72,-1,straight,m,single
27,NA,white,162.56,-1,straight,f,single
27,never,other,182.88,-1,straight,m,single
38,never,white,170.18,-1,straight,f,single
20,never,other,152.4,-1,straight,f,single
27,never,white,175.26,-1,straight,m,single
26,never,white,175.26,-1,straight,m,single
32,never,white,175.26,-1,straight,m,single
25,NA,other,175.26,-1,bisexual,m,single
27,NA,other,160.02,-1,straight,f,single
35,NA,white,187.96,-1,straight,m,single
30,never,other,193.04,-1,straight,m,single
35,NA,other,182.88,-1,straight,m,single
30,sometimes,white,190.5,-1,straight,m,single
40,NA,white,180.34,60000,straight,m,single
29,sometimes,white,167.64000000000001,-1,bisexual,f,single
27,never,other,175.26,-1,straight,m,single
27,NA,other,185.42000000000002,-1,straight,m,single
28,sometimes,white,177.8,-1,straight,m,single
31,sometimes,other,170.18,1000000,bisexual,f,single
26,never,white,167.64000000000001,-1,straight,f,single
33,sometimes,white,167.64000000000001,-1,gay,f,single
38,never,other,165.1,-1,gay,f,single
31,NA,white,175.26,-1,straight,m,single
36,NA,other,175.26,-1,straight,m,single
33,never,white,175.26,-1,straight,m,single
33,never,white,177.8,-1,gay,m,single
26,NA,white,180.34,-1,straight,m,single
21,NA,white,182.88,-1,straight,m,single
22,sometimes,other,177.8,-1,straight,m,single
31,NA,other,180.34,-1,straight,m,single
31,never,other,170.18,-1,straight,m,coupled
35,NA,white,190.5,-1,straight,m,single
31,sometimes,white,177.8,-1,straight,m,single
28,NA,white,170.18,-1,straight,f,single
28,never,latin,182.88,-1,straight,m,single
29,never,white,172.72,-1,straight,m,single
22,never,asian,165.1,20000,straight,m,single
30,sometimes,other,167.64000000000001,-1,straight,f,single
31,NA,other,175.26,-1,bisexual,f,single
29,sometimes,white,193.04,-1,gay,m,single
25,never,white,157.48,-1,straight,f,single
33,NA,white,170.18,-1,straight,f,single
35,sometimes,other,185.42000000000002,150000,straight,m,single
31,never,other,154.94,50000,straight,f,single
28,NA,white,182.88,-1,straight,m,single
29,NA,other,170.18,-1,bisexual,f,single
26,sometimes,white,182.88,-1,straight,m,single
25,never,white,165.1,-1,bisexual,f,coupled
34,never,white,170.18,-1,straight,f,single
21,never,white,180.34,20000,straight,m,single
28,never,white,170.18,-1,straight,f,single
31,never,white,175.26,-1,gay,m,single
34,never,white,175.26,100000,straight,m,single
32,never,other,162.56,-1,gay,f,single
30,never,other,185.42000000000002,-1,straight,m,single
28,NA,white,172.72,-1,straight,m,single
40,NA,other,167.64000000000001,-1,straight,f,single
27,never,other,154.94,-1,straight,f,single
43,never,other,180.34,-1,straight,m,single
37,never,other,162.56,-1,straight,f,single
24,never,black,187.96,-1,straight,m,single
29,NA,white,187.96,-1,straight,m,single
29,sometimes,white,170.18,50000,straight,f,single
28,NA,other,175.26,-1,straight,m,single
29,sometimes,white,170.18,40000,straight,m,single
25,NA,white,198.12,80000,straight,m,single
34,NA,white,190.5,-1,straight,m,single
39,never,asian,177.8,-1,straight,m,single
31,sometimes,white,167.64000000000001,-1,straight,f,single
46,never,black,182.88,-1,straight,m,single
38,NA,white,180.34,-1,straight,m,single
30,never,other,172.72,-1,straight,m,single
41,often,white,175.26,1000000,straight,m,single
39,sometimes,white,177.8,100000,straight,m,single
31,never,white,160.02,-1,straight,f,single
