Gender,n_roles
Male,0
Female,1
Female,2
Female,0
Male,9
Female,4
Male,2
Female,1
Male,0
Male,1
Male,4
Male,7
Male,2
Female,3
Male,14
Male,6
Female,6
Female,6
Female,5
Female,3
Female,10
Male,1
Male,8
Male,6
Female,0
Male,7
Female,1
Male,5
Male,2
Male,0
Male,10
Male,1
Female,0
Female,21
Female,2
Female,3
Male,2
Female,3
Male,3
Female,4
Male,0
Male,2
Male,9
Male,14
Male,13
Female,4
Male,0
Male,4
Male,7
Male,0
Female,1
Female,0
Male,6
Male,0
Male,11
Female,0
Male,6
Female,0
Male,1
Male,1
Male,2
Female,0
Male,0
Female,0
Female,0
Male,1
Male,1
Male,6
Male,0
Female,2
Male,0
Male,11
Male,0
Male,0
Female,0
Male,1
Female,3
Male,4
Male,3
Male,1
Male,0
Male,4
Male,1
Female,3
Male,3
Female,1
Female,0
Male,0
Female,3
Female,0
Female,0
Male,0
Male,0
Female,1
Male,0
Male,4
Male,1
Male,5
Male,0
Male,6
Male,7
Male,0
Male,0
Female,2
Female,3
Male,1
Male,1
Female,4
Male,1
Female,1
Male,1
Male,1
Female,0
Male,0
Male,2
Male,4
Male,1
Male,4
Male,0
Male,2
Female,0
Male,1
Female,3
Male,3
Female,4
Male,0
Female,0
Female,4
Male,3
